date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:31:33	488/488	---M--	200	added ('OK')	image/gif	etag:%224d6c62ef-1e8%22	http://edu.nstu.ru/courses/saod/_derived/glossary.htm_cmp_my010_bnr.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_derived/glossary.htm_cmp_my010_bnr.gif	(from http://edu.nstu.ru/courses/saod/glossary.htm)
21:31:33	173/173	---M--	200	added ('OK')	image/gif	etag:%224d6c63c2-ad%22	http://edu.nstu.ru/courses/saod/_themes/my/ablrule.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_themes/my/ablrule.gif	(from http://edu.nstu.ru/courses/saod/_themes/my/my1011-1251.css)
21:31:33	74/74	---M--	200	added ('OK')	image/gif	etag:%224d6c63c2-4a%22	http://edu.nstu.ru/courses/saod/_themes/my/ablbull1.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_themes/my/ablbull1.gif	(from http://edu.nstu.ru/courses/saod/_themes/my/my1011-1251.css)
21:31:33	26226/26226	---M--	200	added ('OK')	image/gif	etag:%224d6c6816-6672%22	http://edu.nstu.ru/courses/saod/images/vis1.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/images/vis1.gif	(from http://edu.nstu.ru/courses/saod/visualisator.htm)
21:31:34	62/62	---M--	200	added ('OK')	image/gif	etag:%224d6c63c2-3e%22	http://edu.nstu.ru/courses/saod/_themes/my/ablbull2.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_themes/my/ablbull2.gif	(from http://edu.nstu.ru/courses/saod/_themes/my/my1011-1251.css)
21:31:34	73/73	---M--	200	added ('OK')	image/gif	etag:%224d6c63c2-49%22	http://edu.nstu.ru/courses/saod/_themes/my/ablbull3.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_themes/my/ablbull3.gif	(from http://edu.nstu.ru/courses/saod/_themes/my/my1011-1251.css)
21:31:34	40059/40059	---M--	200	added ('OK')	image/gif	etag:%224d6c6815-9c7b%22	http://edu.nstu.ru/courses/saod/images/vis.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/images/vis.gif	(from http://edu.nstu.ru/courses/saod/visualisator.htm)
21:31:34	320/320	---M--	200	added ('OK')	image/gif	etag:%224d6c63c2-140%22	http://edu.nstu.ru/courses/saod/_themes/my/ablbnr1.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_themes/my/ablbnr1.gif	(from http://edu.nstu.ru/courses/saod/_themes/my/my1011-1251.css)
21:31:34	144/144	---M--	200	added ('OK')	image/gif	etag:%224d6c63c4-90%22	http://edu.nstu.ru/courses/saod/_themes/my/but_up.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_themes/my/but_up.gif	(from http://edu.nstu.ru/courses/saod/_themes/my/my1011-1251.css)
21:31:34	146/146	---M--	200	added ('OK')	image/gif	etag:%224d6c63c4-92%22	http://edu.nstu.ru/courses/saod/_themes/my/but_down.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_themes/my/but_down.gif	(from http://edu.nstu.ru/courses/saod/_themes/my/my1011-1251.css)
